code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
280940,Stock,2026-03-10,2026-03-12,2890.0,3115.0,7.7854671280276815,5,time_exit,2895.0
371450,Stock,2026-03-10,2026-03-12,10390.0,10700.0,2.9836381135707413,5,time_exit,10490.0
402490,그린리소스,2026-03-10,2026-03-12,12260.0,13486.000000000002,10.0,1,take_profit,12620.0
412770,Stock,2026-03-10,2026-03-12,11945.0,12135.0,1.5906236919213061,5,time_exit,11860.0
440340,Stock,2026-03-10,2026-03-12,12376.0,12480.0,0.8403361344537815,5,time_exit,12431.0
441680,Stock,2026-03-10,2026-03-12,11030.0,11168.0,1.2511332728921125,5,time_exit,11005.0
460960,Stock,2026-03-10,2026-03-12,11595.0,11670.0,0.646830530401035,5,time_exit,11645.0
461910,Stock,2026-03-10,2026-03-12,34255.0,33550.0,-2.058093708947599,5,time_exit,34300.0
464930,Stock,2026-03-10,2026-03-12,19300.0,19260.0,-0.20725388601036268,5,time_exit,19055.0
472830,Stock,2026-03-10,2026-03-12,9080.0,9229.0,1.6409691629955945,5,time_exit,9264.0
473490,Stock,2026-03-10,2026-03-12,22220.0,22330.0,0.49504950495049505,5,time_exit,22400.0
480020,Stock,2026-03-10,2026-03-12,11940.0,11940.0,0.0,5,time_exit,11925.0
494410,Stock,2026-03-10,2026-03-12,12955.0,12900.0,-0.42454650714010034,5,time_exit,12980.0
000020,동화약품,2026-03-13,2026-03-17,6000.0,5930.0,-1.1666666666666667,5,time_exit,6130.0
0007C0,아크릴,2026-03-13,2026-03-17,43950.0,41752.5,-5.0,1,stop_loss,42850.0
000815,삼성화재우,2026-03-13,2026-03-17,386500.0,397000.0,2.716688227684347,5,time_exit,388500.0
001120,LX인터내셔널,2026-03-13,2026-03-17,43950.0,46200.0,5.1194539249146755,5,time_exit,43300.0
001260,남광토건,2026-03-13,2026-03-17,8590.0,9449.0,10.0,1,take_profit,9020.0
001270,부국증권,2026-03-13,2026-03-17,77300.0,73435.0,-5.0,4,stop_loss,81500.0
001540,안국약품,2026-03-13,2026-03-17,7870.0,7790.0,-1.0165184243964422,5,time_exit,7930.0
001750,한양증권,2026-03-13,2026-03-17,25750.0,26450.0,2.7184466019417477,5,time_exit,26150.0
001780,알루코,2026-03-13,2026-03-17,2100.0,2100.0,0.0,5,time_exit,2140.0
002030,아세아,2026-03-13,2026-03-17,286500.0,272175.0,-5.0,2,stop_loss,290500.0
002700,신일전자,2026-03-13,2026-03-17,1366.0,1380.0,1.0248901903367496,5,time_exit,1387.0
002990,금호건설,2026-03-13,2026-03-17,4745.0,5219.5,10.0,3,take_profit,5040.0
003030,세아제강지주,2026-03-13,2026-03-17,154700.0,170170.0,10.0,1,take_profit,151000.0
003070,코오롱글로벌,2026-03-13,2026-03-17,9850.0,10835.0,10.0,3,take_profit,10280.0
003080,SB성보,2026-03-13,2026-03-17,2600.0,2620.0,0.7692307692307693,5,time_exit,2655.0
003470,유안타증권,2026-03-13,2026-03-17,4975.0,4990.0,0.3015075376884422,5,time_exit,4980.0
003547,대신증권2우B,2026-03-13,2026-03-17,25050.0,25050.0,0.0,5,time_exit,25000.0
003680,한성기업,2026-03-13,2026-03-17,5000.0,5000.0,0.0,5,time_exit,5080.0
003920,남양유업,2026-03-13,2026-03-17,55300.0,52535.0,-5.0,4,stop_loss,55900.0
003925,남양유업우,2026-03-13,2026-03-17,43200.0,41040.0,-5.0,4,stop_loss,40950.0
004100,태양금속,2026-03-13,2026-03-17,2975.0,3272.5000000000005,10.0,5,take_profit,3125.0
004105,태양금속우,2026-03-13,2026-03-17,3800.0,3610.0,-5.0,2,stop_loss,4030.0
004980,성신양회,2026-03-13,2026-03-17,9200.0,10120.0,10.0,4,take_profit,9320.0
005360,모나미,2026-03-13,2026-03-17,1655.0,1697.0,2.5377643504531724,5,time_exit,1778.0
0054V0,엔에이치스팩32호,2026-03-13,2026-03-17,2040.0,2065.0,1.2254901960784315,5,time_exit,2080.0
005680,삼영전자,2026-03-13,2026-03-17,12810.0,14091.000000000002,10.0,1,take_profit,12720.0
005720,넥센,2026-03-13,2026-03-17,6800.0,6790.0,-0.14705882352941177,5,time_exit,6800.0
006120,SK디스커버리,2026-03-13,2026-03-17,56400.0,62040.00000000001,10.0,1,take_profit,56600.0
007340,DN오토모티브,2026-03-13,2026-03-17,35250.0,38775.0,10.0,1,take_profit,27600.0
008355,남선알미우,2026-03-13,2026-03-17,13870.0,13176.5,-5.0,2,stop_loss,14020.0
009190,대양금속,2026-03-13,2026-03-17,1221.0,1235.0,1.1466011466011465,5,time_exit,1248.0
009410,태영건설,2026-03-13,2026-03-17,1780.0,1958.0000000000002,10.0,3,take_profit,1832.0
009520,포스코엠텍,2026-03-13,2026-03-17,18050.0,17147.5,-5.0,4,stop_loss,17900.0
010040,한국내화,2026-03-13,2026-03-17,2035.0,1948.0,-4.275184275184276,5,time_exit,2045.0
0115H0,삼성스팩13호,2026-03-13,2026-03-17,2040.0,2035.0,-0.24509803921568626,5,time_exit,2045.0
011700,한신기계,2026-03-13,2026-03-17,4935.0,5428.5,10.0,3,take_profit,4945.0
